ID,Level Description,Category,DisplayName,InternalName?,Summary,Full_Description,CTAButtonTitle,Action_Provider,CTAURL,DDMType,EvidenceBasisURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Applicable Wellness Levels (separated by comma),Applicable Pillar (pillar name separated by comma),Score,Maintenance Ref,Region,Postcode,Free_paid,retrocession,Frequency,Periodicity,Total Iterations,Topic,Ml-MOT Flag
233,Financial security,Plan,Track your portfolio,233,Use this tool to understand your investment portfolio.,"Track your investments regularly, get a clear picture of your assets and understand your portfolio performance.",Sign me up,Morningstar,https://www.morningstar.co.uk/uk/portfoliomanager/start,Maintenance,,50-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Wealth,1,,,,Free,,monthly,1 year,12,,
234,Financial independence,Plan,Need an advisor?,234,How do you know when it’s time to find an advisor?,"If you’re looking to invest, buy a financial product, manage your money more effectively or simply plan for the longer term, getting a financial advisor can be a good idea.",Visit site,,https://www.halixia.com/ma/need-an-advisor-234,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired",4,Wealth,1,,,,Free,,,,,,
236,Money basics,Protect,Change in income?,236,Help in how to deal with a reduction in income.,"If, for one reason or another, you're experiencing a reduction in income Money Navigator and other tools can help you get back on track.",Visit site,,https://www.halixia.com/ma/change-in-income-236,Development,,0-99,"Male, Female, Non-Conforming","Not-Working, Retired",1,Wealth,2,,,,Free,,,,,,
238,Savings & protection,Protect,Life insurance,238,Get life insurance to provide for your dependants.,"If anyone depends on your income, planning for their future if the worst were to happen could be invaluable. Life insurance can be one of the cheapest ways to protect your family's finances. ",Read,,https://www.halixia.com/ma/life-insurance-238,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired",2,Wealth,3,239,,,Free,,,,,,
239,Savings & protection,Protect,Life insurance,239,Life insurance can help provide for your dependants.,Life insurance can be one of the cheapest ways to provide for you dependent. Get a quote and protect your family's finances in the event of your death.,Sign me up,Cavendish Online,https://www.cavendishonline.co.uk/how-to-apply,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired",2,Wealth,1,,,,Free,,monthly,1 year,12,,
240,Savings & protection,Protect,How to start saving,240,Everyone can start an emergency fund.,If you are on limited income there are easy ways you can start saving for a rainy day.,Visit site,,https://www.halixia.com/ma/how-to-start-saving-240,Development,,0-99,"Male, Female, Non-Conforming",Not-Working,2,Wealth,2,241,,,Free,,,,,Emergency Fund,Y
241,Savings & protection,Protect,Start saving,241,Start an emergency fund.,Start saving even if you have limited income. Save for a rainy day and build a good habit for your financial resilience.,Sign me up,Skint Dad,https://skintdad.co.uk/skint-52-week-saving-challenge/,Maintenance,,0-99,"Male, Female, Non-Conforming",Not-Working,2,Wealth,1,,,,Free,,monthly,1 year,12,,
242,Savings & protection,Protect,Rainy day savings,242,Everyone can start an emergency fund.,An emergency fund is easy to start and can save you from an unexpected crisis. Here’s everything you need to know to start saving for a rainy day.,Visit site,,https://www.halixia.com/ma/rainy-day-savings-242,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Wealth,2,243,,,Free,,,,,Emergency Fund,Y
243,Savings & protection,Protect,Save for a rainy day,243,Start your emergency fund.,An emergency fund is easy to start and can save you from an unexpected crisis. Add to it regularly and you've got it covered for that rainy day!,Sign me up,MoneySavingExpert.com,https://www.moneysavingexpert.com/savings/savings-accounts-best-interest/#easyaccess,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Wealth,1,,,,Free,,monthly,1 year,12,,
244,Savings & protection,Protect,How to manage bills,244,Minimise and manage bills for extra peace of mind.,Discover how to manage your bills closely to avoid penalties and start cutting out anything that is not a necessity. Check regularly to stay on top of things.,Read,,https://www.halixia.com/ma/how-to-manage-bills-244,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Wealth,3,245,,,Free,,,,,"Increase Income,Day to day expenses",Y
245,Savings & protection,Protect,Manage your bills,245,Minimise and manage bills for extra peace of mind.,Start managing your bills closely to avoid penalties and start cutting out anything that is not a necessity.,Sign me up,HSBC,https://www.hsbc.co.uk/financial-fitness/everyday-budgeting/how-to-manage-bills/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Wealth,1,,,,Free,,weekly,6 months,24,,
246,Savings & protection,Protect,Emergency fund,246,An emergency fund is a step towards financial security.,"Building an emergency fund can help prevent you needing to borrow money or make difficult financial decisions, by giving you savings to fall back on. How much you need, will depend on your situation.",Do,,https://www.halixia.com/ma/emergency-fund-246,Development,,0-99,"Male, Female, Non-Conforming",Working,2,Wealth,3,247,,,Free,,,,,Emergency Fund,Y
247,Savings & protection,Protect,Fund an emergency,247,Build financial security with an emergency fund.,"Build an emergency fund to prevent you needing to borrow money or make difficult financial decisions, by giving you savings to fall back on. A great habit to build for financial resilience.",Sign me up,HSBC,https://www.hsbc.co.uk/financial-fitness/emergency-fund-calculator/,Maintenance,,0-99,"Male, Female, Non-Conforming",Working,2,Wealth,1,,,,Free,,monthly,1 year,12,,
248,Savings & protection,Protect,Money & ill health,248,Discover help in managing money during periods of ill health.,"If you’re facing a health problem, try and sort out your money situation as soon as you can. These guides cover benefits entitlement, local council support, and where to get help with everyday costs like prescriptions, electricity and gas.",Read,,https://www.halixia.com/ma/money-and-ill-health-248,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Wealth,1,249,,,Free,,,,,,
249,Savings & protection,Protect,Manage your money,249,Manage your money during periods of ill health.,If you’re facing a health problem try and sort out your money situation as soon as you can to avoid money worries building up. Building good money habits now can prevent worry later on.,Sign me up,MoneyHelper,https://www.moneyhelper.org.uk/en/family-and-care/illness-and-disability/how-to-sort-out-your-money-if-you-become-ill-or-disabled,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Wealth,1,,,,Free,,weekly,6 months,24,,
250,Financial security,Protect,Pay for healthcare?,250,Discover how taking out private medical insurance works.,"Private healthcare is paid-for medical treatment. It’s an alternative to free treatment on the NHS. It can be costly, but taking out private medical insurance to pay for it can help.",Read,,https://www.halixia.com/ma/pay-for-healthcare-250,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Wealth,3,251,,,Free,,,,,,
251,Financial security,Protect,Cover healthcare,251,Take out private medical insurance.,Take out private medical insurance to pay for healthcare when you need it most.,Sign me up,Active Quote,https://www.activequote.com/health-insurance/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Wealth,1,,,,Free,,monthly,1 year,12,,
252,Financial security,Protect,Make a will,252,Wills are important whether or not you have very much.,"If you are married, have dependants or have any assets, you would likely benefit from making a will to ensure your assets are passed on as you wish.",Visit site,,https://www.halixia.com/ma/make-a-will-252,Development,,35-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Wealth,2,,,,Paid,,,,,,
253,Financial independence,Protect,Why use trusts,253,How to write life insurance in trust.,Avoid potential inheritance tax and long delays in pay-out through using a trust to hold your life insurance.,Read,,https://www.halixia.com/ma/why-use-trusts-253,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Wealth,2,,,,Free,,,,,,
254,Financial independence,Protect,Professional wills,254,Find a specialist legal professional for your will.,Using a legal professional who specialises in writing wills and other estate matters could be crucial especially if you have more complex affairs.,Do,,https://www.halixia.com/ma/professional-wills-254,Development,,50-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Wealth,2,,,,Free,,,,,,
255,Abundance,Plan,Plan your legacy,255,Find an advisor who specialises in later life planning.,The Society of Later Life Advisors is a not for profit organisation that matches clients with advisors who have been accredited to give advice on later life issues.,Do,,https://www.halixia.com/ma/plan-your-legacy-255,Development,,50-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",5,Wealth,3,,,,Free,,,,,,
256,Up- and Re-skilling,Upskill,Learn how to sculpt,256,Have fun and get creative with pottery.,"You can create sculpture! Even if you’re just a beginner, you won’t believe what you can do! By understanding the basics, you will be surprised with what you can achieve in a short space of time.",Do,,https://www.halixia.com/ma/learn-how-to-sculpt-256,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,3,257,,,Free,,,,,,
257,Up- and Re-skilling,Upskill,Keep sculpting,257,Have fun and get creative with pottery.,A pottery subscription can provide you with all the materials and tools you need to keep sculpting. Sculpt functional and decorative products regularly to turn sculpting into a great new hobby.,Add to habits,Sculpd,https://sculpd.co.uk/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,1,,,,Paid,,monthly,1 year,12,,
258,Identifying upskill opportunities,Upskill,New creative skills,258,Explore the range of creative skills courses available.,"Not sure what creative art to try? Online learning platforms have a range of creative courses from popular to very niche skills. Explore new skills, deepen existing passions, and get lost in creativity.",Visit site,,https://www.halixia.com/ma/new-creative-skills-258,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,2,259,,,Paid,,,,,,
259,Identifying upskill opportunities,Upskill,Get creative skills,259,Take a creative skills course.,"There are loads of creative courses available, sign up to learn a new skill and keep perfecting it. Make it a new hobby by practicing regularly.",Add to habits,Skillshare,https://www.skillshare.com/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,1,,,,Paid,,weekly,6 months,24,,
260,Up- and Re-skilling,Upskill,Art of calligraphy,260,Learn the art of beautiful writing.,"Calligraphy can be described as the ancient art of writing words aesthetically. It is considered to be an art form, as it requires a considerable amount of patience and skill to master.",Do,,https://www.halixia.com/ma/art-of-calligraphy-260,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,3,261,,,Paid,,,,,,
261,Up- and Re-skilling,Upskill,Regular calligraphy,261,Practice the art of beautiful writing.,A subscription box to help you get the most out of learning the art of calligraphy and turn a new skill into a new hobby by practicing regularly.,Add to habits,Kate Illustrate,https://www.kate-illustrate.co.uk/calligraphy-room,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,1,,,,Paid,,monthly,1 year,12,,
262,Up- and Re-skilling,Upskill,Take up chess,262,Start taking chess lessons to improve cognitive function.,Chess is one of the oldest and most popular board games. The board represents a battlefield in which two armies fight to capture each other’s King. Chess is a game of skill and strategy.,Do,,https://www.halixia.com/ma/take-up-chess-262,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,3,263,,,Paid,,,,,,
263,Up- and Re-skilling,Upskill,Find a chess club,263,Play online or in person.,"Whether you play online or in person, playing Chess has great cognitive benefits. If you play regularly it'll become a new habit and a great hobby.",Add to habits,English Chess Federation,https://www.englishchess.org.uk/clubs-home-page/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,1,,,,Free,,2 times a week,3 months,24,,
264,Identifying upskill opportunities,Upskill,Baking bread,264,Making freshly baked homemade bread is special.,"Making fresh bread at home is a satisfying and rewarding skill. Mixing and proving through to shaping and baking, making delicious homemade loaves isn't easy to master without some help and guidance.",Do,,https://www.halixia.com/ma/baking-bread-264,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,2,265,,,Free,,,,,,
265,Identifying upskill opportunities,Upskill,Bake some bread,265,Make freshly baked homemade bread regularly.,Turn your new skill into a regular practice and a subscription box to help you learn to make a different bread every month.,Add to habits,notonthehighstreet,https://www.notonthehighstreet.com/bakerboxx/product/monthly-bread-baking-subscription,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,1,,,,Paid,,weekly,6 months,24,,
266,Up- and Re-skilling,Upskill,Take a writing class,266,Discover a love for creative writing with a class.,"Take an online creative writing class to learn how to write. Whether your interest is fiction, articles or non-fiction, find a writing workshop best suited for you and get writing.",Do,,https://www.halixia.com/ma/take-a-writing-class-266,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,3,267,,,Paid,,,,,,
267,Up- and Re-skilling,Upskill,Keep writing,267,Creative writing for fun or work.,"Turn your love of creative writing into a regular practice and doing it regularly will make it a habit, and you could even make some money from it.",Add to habits,Learning 24/7,https://www.awin1.com/cread.php?awinmid=15642&awinaffid=1198638&ued=https%3A%2F%2Fwww.learning247.co.uk%2Fpages%2Fsearch-results%3Fq%3Dcreative%2520writing,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,1,,,,Paid,,weekly,6 months,24,,
268,Identifying upskill opportunities,Foundation,Online security,268,Get practical know how on staying safe online.,"Get practical advice and support on how to protect yourself, your computers and mobile devices and your business against fraud, identity theft, viruses and many other problems encountered online.",Read,,https://www.halixia.com/ma/online-security-268,Development,,50-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,2,269,,,Free,,,,,,
269,Identifying upskill opportunities,Foundation,Stay safe online,269,Remain vigilant to online security.,Keep up to date with news and information about staying safe online. Regularly checking up on the latest cybersecurity news is a great habit.,Add to habits,Get Safe Online,https://www.getsafeonline.org/personal/blog/,Maintenance,,50-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,1,,,,Free,,monthly,1 year,12,,
270,Identifying upskill opportunities,Foundation,Family online safety,270,Get practical knowhow keeping your family safe online.,"Young people are growing up in an increasingly digital world, exposing them to both the opportunities and risks of the internet. Get savvy on how you can protect yourself and your family when online.",Read,,https://www.halixia.com/ma/family-online-safety-270,Development,,0-49,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,2,271,,,Free,,,,,,
271,Identifying upskill opportunities,Foundation,Family online safety,271,Remain vigilant to online security for your family.,Use these great resources with your children to help them understand and protect themselves from threats online.,Add to habits,BBC,https://www.bbc.co.uk/bitesize/topics/zfcvhbk/articles/zkcj92p,Maintenance,,0-49,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,1,,,,Free,,monthly,1 year,12,,
272,Identifying upskill opportunities,Foundation,Get digital skills,272,Get skills and confidence in accessing digital tech.,Find a centre near you offering help to build skills and confidence in accessing digital technology.,Visit site,,https://www.halixia.com/ma/get-digital-skills-272,Development,,60-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,3,273,,,Free,,,,,,
273,Identifying upskill opportunities,Foundation,Stay digital,273,Build your skills and confidence in accessing digital tech.,Keep learning and practicing your digital skills by getting online every day and giving it a go. In no time at all it'll become second nature.,Add to habits,Online Centre Network,https://www.onlinecentresnetwork.org/,Maintenance,,60-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,1,,,,Free,,daily,2 months,56,,
274,Identifying upskill opportunities,Foundation,New job skills,274,"Find training, support and advice to gain new job skills.","Unlock a better career ahead. Find training, support, and advice to gain the skills you need for the job you want.",Visit site,,https://www.halixia.com/ma/new-job-skills-274,Development,,0-99,"Male, Female, Non-Conforming",Not-Working,2,Learning,3,,,,Free,,,,,"Current Job,New Job,Upskilling",Y
276,Identifying upskill opportunities,Foundation,Access job skills,276,"Find training, support and advice to gain new job skills.","Unlock a better way ahead. Find training, support, and advice to gain the skills you need for the job you want.",Visit site,,https://www.halixia.com/ma/access-job-skills-276,Development,,0-99,"Male, Female, Non-Conforming",Working,2,Learning,3,,,,Free,,,,,"Current Job,New Job,Upskilling",Y
278,Up- and Re-skilling,Upskill,Get new skills,278,Innovative learning for a new career.,"Online learning platforms provide access to courses that span across industries from accounting all the way to tourism, to help you upskill and start a new career.",Visit site,,https://www.halixia.com/ma/get-new-skills-278,Development,,0-99,"Male, Female, Non-Conforming",Working,3,Learning,3,,,,Paid,,,,,"New Job,Upskilling,Self-Employment",Y
280,Identifying upskill opportunities,Foundation,Learning platforms,280,Help in choosing a suitable online learning platform.,Help in choosing from the many online learning platforms available to ensure you get the best out of any learning experience.,Read,,https://www.halixia.com/ma/learning-platforms-280,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,1,,,,Free,,,,,,
282,Identifying upskill opportunities,Upskill,Try learning,282,Get free learning online,"Many online learning platforms offer some free learning. OpenLearn is the home of free learning from The Open University, with a huge range of topics for you to discover all for free.",Do,,https://www.halixia.com/ma/try-learning-282,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,2,,,,Free,,,,,,
284,Identifying upskill opportunities,Upskill,Workplace training,284,Expand your employment opportunities.,"Online learning platforms offer courses to help you expand your employment opportunities. Whether that's learning a new skill or complying with current legislation, these virtual training platforms can help.",Read,,https://www.halixia.com/ma/workplace-training-284,Development,,40-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,3,285,,,Paid,,,,,"Current Job,New Job,Upskilling",Y
285,Identifying upskill opportunities,Upskill,Workplace training,285,Keep expanding your employment opportunities.,Improve your employability in today’s world with the right skill set. Keep developing to form a learning habit.,Add to habits,Learning 24/7,https://www.awin1.com/cread.php?awinmid=15642&awinaffid=1198638&ued=https%3A%2F%2Fwww.learning247.co.uk%2F,Maintenance,,50-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,1,,,,Paid,,weekly,6 months,24,,
286,Identifying upskill opportunities,Foundation,Lifelong learning,286,Age UK can help you find out about learning opportunities.,"Education is a great way to learn something new, meet people, acquire new skills or have an active retirement. Advice from Age UK and these other resources can help you make the most of learning opportunities available.",Read,,https://www.halixia.com/ma/lifelong-learning-286,Development,,40-99,"Male, Female, Non-Conforming",Retired,2,Learning,1,287,,,Free,,,,,"Early Retirement,Lifelong learning",Y
287,Identifying upskill opportunities,Foundation,Keep learning,287,Find a learning opportunity that's right for you.,There are loads of courses available online or in person. Do something creative or practical regularly and make it a great habit.,Add to habits,Learning 24/7,https://www.awin1.com/cread.php?awinmid=15642&awinaffid=1198638&ued=https%3A%2F%2Fwww.learning247.co.uk%2F,Maintenance,,60-99,"Male, Female, Non-Conforming",Retired,2,Learning,1,,,,Paid,,weekly,6 months,24,,
288,Identifying upskill opportunities,Upskill,Discover museums,288,Discover museums to visit from all over UK.,"Discover museums to visit all over UK, no matter what your interests are, with these guides to finding the perfect place to explore for you.",Visit site,,https://www.halixia.com/ma/discover-museums-288,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,2,289,,,Free,,,,,,
289,Identifying upskill opportunities,Upskill,Visit a museum,289,Binge on culture.,Visit the museums in your area or beyond and get a regular fix of culture. Get the culture bug by visiting new museums to create a fantastic new mind-expanding hobby.,Add to habits,Art Fund,https://www.artfund.org/national-art-pass,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,1,,,,Paid,,monthly,1 year,12,,
290,Advanced Learning,Foundation,Ageing issues,290,Get up to date with Age UK news.,Learn about the issues affecting the elderly with news and views on age and ageing.,Visit site,,https://www.halixia.com/ma/ageing-issues-290,Development,,60-99,"Male, Female, Non-Conforming",Retired,4,Learning,1,291,,,Free,,,,,,
291,Advanced Learning,Foundation,Keep up to date,291,Stay up to date with Age UK news.,"Sign up to news and views on age related issues, stay relevant by reading regularly.",Add to habits,Age UK,https://www.ageuk.org.uk/discover/,Maintenance,,60-99,"Male, Female, Non-Conforming",Retired,4,Learning,1,,,,Free,,monthly,6 months,12,,
292,Up- and Re-skilling,Foundation,Become multilingual,292,Find out which language matches your learning style.,Discover what type of learner you are and which language you should learn. It might surprise you to learn certain languages might come more naturally to certain people.,Do,,https://www.halixia.com/ma/become-multilingual-292,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,2,293,,,Paid,,,,,"New Job,Upskilling,Early Retirement,Self-Employment,Languages",Y
293,Up- and Re-skilling,Foundation,Find a new language,293,Learn a language suited to your learning style.,With your new found understanding of learning styles and languages dive in and find a language you'd love to learn.,Add to habits,Rocket Language,https://www.rocketlanguages.com/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,1,,,,Paid,,weekly,6 months,24,,
294,Up- and Re-skilling,Foundation,Which language app?,294,Find the right language learning platform for you.,"Digital technology has opened up loads of new ways to learn a language, making it very practical and affordable. Work out which is best for you before diving in and learning a second language.",Read,,https://www.halixia.com/ma/which-language-app-294,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,1,295,,,Free,,,,,"New Job,Upskilling,Early Retirement,Languages",Y
295,Up- and Re-skilling,Foundation,Learn a language,295,"Found the perfect language platform, time to get learning.","Sign up to a language course and get learning, practising your new language daily will create a great new habit.",Add to habits,Rocket Language,https://www.rocketlanguages.com/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,1,,,,Paid,,weekly,6 months,24,,
296,Up- and Re-skilling,Upskill,Live class languages,296,Learn a new language with live online classes.,Learn a new language quickly and efficiently in a fun and interesting environment that also has the benefit of live classes to help get you speaking a new language.,Visit site,,https://www.halixia.com/ma/live-class-languages-296,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,3,297,,,Paid,,,,,,
297,Up- and Re-skilling,Upskill,Keep learning,297,Keep practicing your language skills.,"Keep learning through further language courses and practice, doing it regularly will create a great new habit.",Add to habits,Babbel,https://uk.babbel.com/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,1,,,,Paid,,3 times a week,2 months,24,,
298,Up- and Re-skilling,Upskill,Learn a language,298,Learn a new language with videos from native speakers.,Learn a new language and be able to watch lessons from native speakers to help you fully understand and absorb the language.,Visit site,,https://www.halixia.com/ma/learn-a-language-298,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,3,299,,,Free,,,,,,
299,Up- and Re-skilling,Upskill,Keep learning,299,Keep practicing your language skills.,Keep learning through regular sessions and create a great new habit.,Add to habits,Memrise,https://www.memrise.com/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,1,,,,Free,,3 times a week,2 months,24,,
300,Up- and Re-skilling,Upskill,Read to learn,300,Learn a new language by reading.,"Learn a new language by reading and listening to the narrations, to help you become more comfortable with the words and grammatical rules of your chosen language.",Visit site,,https://www.halixia.com/ma/read-to-learn-300,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,3,301,,,Free,,,,,,
301,Up- and Re-skilling,Upskill,Keep learning,301,Keep practicing your language skills.,"Keep learning through further language courses and practice, doing it regularly will create a great new habit.",Add to habits,Beelinguapp,https://beelinguapp.com/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,1,,,,Free,,weekly,6 months,24,,
302,Identifying upskill opportunities,Upskill,Free language course,302,Check out free language courses available.,"Whether it’s French, German, Spanish, Italian or Japanese you’d like to learn, there's free language courses available for you.",Visit site,,https://www.halixia.com/ma/free-language-course-302,Development,,0-99,"Male, Female, Non-Conforming","Not-Working, Retired",2,Learning,2,303,,,Free,,,,,,
303,Identifying upskill opportunities,Upskill,Keep learning,303,Take a free language course.,With so many free options to learn a language there's no reason why you can't learn a new skill. Doing it regularly will create a great new habit.,Add to habits,Alison,https://alison.com/courses/language?utm_source=alison_user&utm_medium=affiliates&utm_campaign=24567325,Maintenance,,0-99,"Male, Female, Non-Conforming","Not-Working, Retired",2,Learning,1,,,,Free,,weekly,6 months,24,,
304,Advanced Learning,Upskill,Next level languages,304,Discover getting formal qualifications in languages.,"When you discover a new language, it can open up different cultures or teach you more about the power of communication. It could also lead to a more formal qualification or a new career.",Do,,https://www.halixia.com/ma/next-level-languages-304,Development,,0-49,"Male, Female, Non-Conforming",Working,4,Learning,3,305,,,Paid,,,,,,
305,Advanced Learning,Upskill,Get a qualification,305,"Serious about language learning, get formal qualifications.",Open up the opportunity for a new career in languages and communication. Take a formal qualification and build a new learning habit and career.,Add to habits,Open University,https://www.open.ac.uk/courses/languages,Maintenance,,0-49,"Male, Female, Non-Conforming",Working,4,Learning,1,,,,Paid,,weekly,6 months,24,,
306,Advanced Learning,Upskill,Immersive language,306,Combine learning a new language with cultural experience.,"Learn a new language with in-country courses to not only explore the language but the culture too. Taught by qualified, native speaking teachers.",Visit site,,https://www.halixia.com/ma/immersive-language-306,Development,,50-99,"Male, Female, Non-Conforming","Working, Retired",4,Learning,3,307,,,Paid,,,,,,
307,Advanced Learning,Upskill,Keep learning,307,Keep practicing a new language with immersive experiences.,"Get the bug for learning languages and experiencing the culture together, with immersive travel and practice.",Add to habits,Cactus Language,https://www.cactuslanguage.com/adults/courses/50-plus/,Maintenance,,50-99,"Male, Female, Non-Conforming","Working, Retired",4,Learning,1,,,,Paid,,every 6 months,3 years,6,,
308,Up- and Re-skilling,Upskill,Change career,308,Career advancing courses,"Online learning platforms, such as Coursera, offer a multitude of courses, Professional Certificates, and degrees from world-class universities and companies, to start, switch, or advance your career.",Visit site,,https://www.halixia.com/ma/change-career-308,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working",3,Learning,3,309,,,Free,,,,,"Current Job,New Job,Upskilling,Self-Employment,Online Learning",Y
309,Up- and Re-skilling,Upskill,Take a course,309,Career advancing courses,"Sign up for an online learning course, start small and build up and you could soon get the learning bug.",Add to habits,Coursera,https://www.coursera.org/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working",3,Learning,1,,,,Free,,weekly,6 months,24,,
310,Identifying upskill opportunities,Upskill,Learn with the best,310,Online learning with world class universities and experts.,"Online learning platforms such as Futurelearn, a UK based learning platform, often partner with world-leading academic institutions known for their teaching and research across a variety of fields.",Visit site,,https://www.halixia.com/ma/learn-with-the-best-310,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,3,,,,Paid,,,,,,
312,Up- and Re-skilling,Upskill,New skills for life,312,Learn 'small business' skills,"Online learning platforms, such as Centre of Excellence, offer opportunity to learn a new skillset for life, or possibly take the next step into using the techniques to set up a new business. ",Visit site,,https://www.halixia.com/ma/new-skills-for-life-312,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,3,,,,Paid,,,,,"Self-Employment,Learning platforms",Y
314,Up- and Re-skilling,Foundation,Try a podcast,314,Try a podcast.,"Find out where you can dip your toe into a pick of the best podcasts on Spotify, Apple Podcasts and more covering technology, culture, science, politics, and new ideas.",Read,,https://www.halixia.com/ma/try-a-podcast-314,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,2,315,,,Free,,,,,,
315,Up- and Re-skilling,Foundation,Get a podcast habit,315,53 of the best podcasts for curious minds.,Podcasts often come in a regular series of episodes and you can subscribe to them. It's easy to get notified (via your favourite podcast app) when new episodes come out and build a new habit.,Add to habits,Wired,https://www.wired.co.uk/article/best-podcasts,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,1,,,,Free,,2 times a week,3 months,24,,
316,Identifying upskill opportunities,Upskill,Learn something new,316,Live classes for older adults.,"Learn something new with live classes for older adults, by older adults - anything from art to travel.",Visit site,,https://www.halixia.com/ma/learn-something-new-316,Development,,40-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,3,317,,,Free,,,,,"Early Retirement,Lifelong learning",Y
317,Identifying upskill opportunities,Upskill,Keep learning,317,Join live classes for older adults.,Sign up to take classes with Get Setup and gain new skills and create a lifelong learning habit.,Add to habits,GetSetUp,https://www.getsetup.io/,Maintenance,,55-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,1,,,,Free,,weekly,6 months,24,,
318,Educational foundation,Foundation,Join a library,318,Find and join your local library for many free services.,"Your local library provides many services such as book loans, CD rental and internet access. Some may offer reading events and 24-hour online services.",Visit site,,https://www.halixia.com/ma/join-a-library-318,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Learning,3,319,,,Free,,,,,,
